,p corr.,Samples (P) %,Fold enrich.,M diff.
175069256,2.6144062053031564e-30,0.24,24.60104834012813,0.22796467146714672
1535166686,2.3474407755732523e-23,0.76,3.0821041287802253,0.5217090459045906
3284564601,4.228374561422031e-19,0.49,10.391497865382869,1.744897614761476
517457164,1.1776666574891544e-13,0.52,11.264866131583574,3.9426417641764178
716330059,5.905295626154452e-13,0.13,15.102310231023104,0.12019014401440145
864942795,3.5593494821359856e-12,0.0,0.0,-0.9301136363636363
10565946,1.353680101410327e-10,0.8,6.805829346979642,7.339755850585059
2245384272,3.2941357160831645e-09,0.99,3.319189061763319,5.396067731773178
540046244,5.50768179323638e-09,0.69,5.7714822577148235,2.9713321332133216
95089064,1.2058244602772155e-08,0.31,8.646360819288036,1.1382650765076507
4291280580,1.2644108153743111e-08,0.08,0.21691795735590155,-0.4289153915391539
1264716728,1.4970316395568482e-08,0.17,6.171617161716172,0.14104410441044105
1507121231,2.901585086920688e-08,0.44,2.572928433782976,0.26632538253825383
422715066,3.5710302702047237e-07,0.36,9.712708975815614,1.8118474347434743
2294436512,4.917239218911021e-07,0.15,12.081848184818483,0.4722378487848785
2456262945,1.178304440709294e-06,0.38,0.4225770375378316,-0.5141032853285329
2078120183,3.32277923726837e-06,0.26,3.1463146314631465,0.17560756075607561
81119253,1.185681733217793e-05,0.06,17.425742574257427,0.05599684968496849
882816052,0.0004557447444716325,0.05,14.521452145214523,0.0460958595859586
3499888,0.0004960268254787592,0.0,0.0,-0.21420454545454545
1510328189,0.0011415163033944528,0.12,0.2129085088960024,-0.4758325832583258
193859680,0.0067722113232787295,0.06,7.4681753889674685,0.05145139513951395
65505467,0.007506760388278826,0.24,6.583058305830583,0.7137432493249325
2440473325,0.01884484800229267,0.0,0.0,-0.14261363636363636
2843306771,0.019561702555628762,0.1,4.052498273083122,0.07457808280828084
165944379,0.029971696902516175,0.37,0.6037008195201543,-0.24048154815481548
1858577693,0.04602746138072592,0.0,0.0,-0.12954545454545455
