,p corr.,Samples (P) %,Fold enrich.,M diff.
482449790,1.8243773880471726e-66,0.06,237.38787878787878,0.0588419877500528
2206467902,2.413693079254031e-56,0.16,10.127731092436976,0.1802522402920677
847336149,6.5265495100774745e-34,0.21,5.739047619047619,0.2890142714902091
202304456,4.846455792554564e-25,0.05,26.376430976430974,0.05685061702320249
2380084179,1.4028282523094262e-23,0.03,47.934090909090905,0.031154391575898378
2640198490,1.4028282523094262e-23,0.03,47.934090909090905,0.031154391575898378
3799181807,3.967949606627268e-21,0.03,73.04242424242423,0.03586579368192378
228689007,8.553986358369553e-20,0.03,54.78181818181818,0.031237365356183808
19347986,1.5205023847999693e-18,0.05,17.11931818181818,0.0427993844854117
1543552144,3.2819786115333795e-18,0.1,9.320517676767677,0.19883082400506893
76821525,5.330992342091629e-16,0.02,45.651515151515156,0.022229430045560147
364615523,7.689337783295407e-15,0.02,47.934090909090905,0.031154391575898378
2075270357,8.406217848903543e-14,0.02,36.521212121212116,0.026525963250158404
2094236579,1.0531466288662923e-13,0.06,4.565151515151515,0.06389584527652897
4143541154,3.9814143028403725e-13,0.03,16.672727272727272,0.02990978487161693
288315894,1.9626591626322123e-12,0.06,7.825974025974024,0.05550493316839151
3610868027,2.904456519028443e-12,0.04,15.904398826979474,0.038336903720242586
2088929298,5.666611959214077e-12,0.06,5.810192837465564,0.0526838246386869
1390916045,2.7685525993566434e-11,0.02,24.90082644628099,0.021814561144133
2098262959,4.322345008968801e-11,0.02,36.521212121212116,0.0176839755001056
1229325558,1.584104435646641e-10,0.05,8.487323943661973,0.044108861599734484
3704757464,4.0231085955644925e-10,0.02,31.303896103896104,0.017601001719820174
4149036272,4.0420600474028905e-10,0.02,27.390909090909087,0.017518027939534744
2617275389,4.0420600474028905e-10,0.02,27.390909090909087,0.017518027939534744
3594646603,9.434741996490791e-10,0.04,10.689135254988912,0.03296171137193374
483201370,1.5922155444999815e-08,0.02,24.347474747474745,0.017435054159249314
1524370211,1.7406731174536676e-08,0.04,7.348780487804878,0.043196150016594756
2342113506,6.009879638804672e-08,0.11,1.9877292518801952,0.056467429019702496
745524459,6.466550906542157e-08,0.02,12.450413223140496,0.020901849560993273
18797801,7.38432043208945e-08,0.02,21.912727272727274,0.017352080378963883
1446752930,2.1389508184660183e-06,0.02,10.602932551319649,0.02470054008387895
2592639418,3.0798167560480284e-06,0.02,16.855944055944054,0.017103159038107593
256763208,3.110365558012713e-06,0.02,13.695454545454544,0.016854237697251303
3232361348,4.417396388442266e-06,0.02,11.412878787878789,0.020735902000422413
3182161250,4.461385728037337e-06,0.02,10.144781144781145,0.020486980659566122
1614977728,8.610757128854395e-06,0.02,12.889839572192514,0.016771263916965873
68798303,9.317668202077863e-06,0.01,23.477922077922077,0.013055547174365627
5099157,9.317668202077863e-06,0.01,23.477922077922077,0.013055547174365627
2223687999,3.5328720697515045e-05,0.1,3.2651414810355206,0.08514015025797303
143174135,3.987154055376693e-05,0.01,27.390909090909087,0.017518027939534744
2345105466,4.017191822757824e-05,0.01,20.543181818181814,0.012972573394080197
669665595,4.017191822757824e-05,0.01,20.543181818181814,0.012972573394080197
4043662952,5.08023409407173e-05,0.02,13.695454545454544,0.016854237697251303
1376473772,0.0001114627764138666,0.02,12.889839572192514,0.016771263916965873
1514095308,0.00012559246960055085,0.06,3.8443381180223284,0.05380925082219473
177608626,0.00014278641245929664,0.01,18.260606060606058,0.012889599613794767
3663832708,0.00014278641245929664,0.01,18.260606060606058,0.012889599613794767
1193433795,0.00014278641245929664,0.01,18.260606060606058,0.012889599613794767
3419190207,0.00016465236402510584,0.02,8.835777126099707,0.020155085538424405
271903915,0.00018839470075407842,0.1,3.184989429175475,0.09354916573635458
1491831064,0.00023089944944809965,0.02,11.533014354066985,0.016605316356395016
446551469,0.00043376849065839744,0.01,16.434545454545454,0.012806625833509338
912341748,0.00043376849065839744,0.01,16.434545454545454,0.012806625833509338
104625121,0.0004348303137919191,0.01,14.940495867768593,0.012723652053223908
544863012,0.0004485404420773138,0.02,12.370087976539589,0.029245994629333492
1279318804,0.0006160050875199503,0.03,6.993423597678916,0.02337295959931207
3515852773,0.0008423146393931918,0.02,10.956363636363637,0.016522342576109586
379973331,0.0008423146393931918,0.02,10.956363636363637,0.016522342576109586
3635614426,0.0008514031216575302,0.03,7.1454545454545455,0.0234559333795975
2641690240,0.0014887769395308705,0.02,13.043290043290044,0.020984823341278703
1023209243,0.0025115886212635223,0.02,15.978030303030302,0.0298268110913315
187923058,0.002594231664319085,0.02,9.960330578512396,0.016356395015538726
129193358,0.002785875771634658,0.01,11.738961038961039,0.012474730712367618
1165385207,0.0032885571295119247,0.02,7.825974025974026,0.019823190417282685
3217380708,0.0042057010912994125,1.0,0.7490185316717247,-1.2900597411218055
3921298496,0.00677966752691379,0.05,4.533667711598746,0.042514256404067224
351239123,0.012284771433537066,0.01,11.738961038961039,0.012474730712367618
1226466132,0.012332156021372694,0.01,10.271590909090907,0.01230878315179676
716542151,0.013003425921209686,0.03,6.742377622377623,0.030970340645083423
1083852209,0.015578211838564525,0.15,2.5082206035379815,0.12026219714570197
4184546840,0.016742066755648453,0.02,7.068621700879765,0.015609630992969857
160300507,0.01687268221536089,0.02,6.26077922077922,0.015277735871828138
616374597,0.018418657946210733,0.08,2.723072833599149,0.048895694415110276
994485099,0.02281428911118099,0.34,0.5458377087157619,-0.42736927858069573
3265651872,0.023315216884975835,0.01,10.271590909090907,0.01230878315179676
1418142519,0.023724987636896133,0.02,13.280440771349861,0.03362550161421718
2572324162,0.03607329864526861,0.02,6.993423597678916,0.02337295959931207
1081775047,0.04170064800012852,0.01,9.667379679144386,0.01222580937151133
2693580355,0.04199112293351944,0.01,7.825974025974026,0.011893914250369609
